Original.pop	affy.id	sample.id	Pop3	Pop4	Pop2	Pop1
Florida	a550962-4368120-060520-256_I09.CEL	4949	0.8662	0	0.1338	0
Florida	a550962-4368120-060520-256_I11.CEL	4964	0.95	0	0.04	0.0099
Belize	a550962-4368120-060520-256_I15.CEL	11409	0.0708	0	0.1114	0.8179
Belize	a550962-4368120-060520-256_I19.CEL	13829	0.0381	0	0.1276	0.8343
Florida	a550962-4368120-060520-256_K07.CEL	4919	0.9602	0	0.0398	0
Florida	a550962-4368120-060520-256_K09.CEL	4951	0.1123	0	0	0.8877
Florida	a550962-4368120-060520-256_K13.CEL	9577	1	0	0	0
Belize	a550962-4368120-060520-256_K19.CEL	13839	0.0265	0	0	0.9734
Florida	a550962-4368120-060520-256_K23.CEL	SIBM13_7	1	0	0	0
Florida	a550962-4368120-060520-256_M05.CEL	4878	0.9032	0	0.0252	0.0716
Florida	a550962-4368120-060520-256_M07.CEL	4922	1	0	0	0
Florida	a550962-4368120-060520-256_M09.CEL	4952	1	0	0	0
Florida	a550962-4368120-060520-256_M13.CEL	9607	0.9358	0	0	0.0641
Florida	a550962-4368120-060520-256_M23.CEL	SIBM13_8	0.9551	0	0	0.0449
Florida	a550962-4368120-060520-256_O05.CEL	4897	0.9425	0	0	0.0575
Florida	a550962-4368120-060520-256_O07.CEL	4932	0.9087	0	0.0457	0.0456
Florida	a550962-4368120-060520-256_O09.CEL	4953	0.998	0	0	0.002
Florida	a550962-4368120-060520-256_O13.CEL	9610	0.9261	0	0	0.0739
Tayrona	a550962-4368120-060520-251_I01.CEL	RG Ac4	0	1	0	0
Tayrona	a550962-4368120-060520-251_I03.CEL	RG Ac7	0	0.9089	0.0575	0.0336
Tayrona	a550962-4368120-060520-251_I07.CEL	RG Ac10	0	0.9709	0.0291	0
Rosario	a550962-4368120-060520-251_I09.CEL	RG Ac13	0	0.9915	0.0085	0
Rosario	a550962-4368120-060520-251_I11.CEL	RG Ac16	0	1	0	0
Rosario	a550962-4368120-060520-251_I13.CEL	RG Ac17	0	0.9807	0	0.0192
Rosario	a550962-4368120-060520-251_I15.CEL	RG Ac19	0	1	0	0
Rosario	a550962-4368120-060520-251_I17.CEL	RG Ac21	0	0.9717	0.0283	0
Rosario	a550962-4368120-060520-251_I21.CEL	RG Ac24	0	1	0	0
Rosario	a550962-4368120-060520-251_I23.CEL	RG Ac26	0	1	0	0
San Bernardo	a550962-4368120-060520-251_K05.CEL	RG Ac31	0	0.9645	0.0084	0.0271
San Bernardo	a550962-4368120-060520-251_K07.CEL	RG Ac33	0	1	0	0
San Bernardo	a550962-4368120-060520-251_K09.CEL	RG Ac35	0	0.9698	0.0302	0
San Bernardo	a550962-4368120-060520-251_K11.CEL	RG Ac38	0	0.9746	0.0254	0
San Bernardo	a550962-4368120-060520-251_K13.CEL	RG Ac41	0	0.9903	0.0097	0
San Bernardo	a550962-4368120-060520-251_K15.CEL	RG Ac42	0	0.958	0.042	0
San Bernardo	a550962-4368120-060520-251_K17.CEL	RG Ac46	0	0.9421	0.0031	0.0548
Urabá Gulf	a550962-4368120-060520-251_K19.CEL	RG Ac47	0	0.4396	0.5242	0.0362
Urabá Gulf	a550962-4368120-060520-251_K21.CEL	RG Ac49	0	0.9928	0	0.0072
Urabá Gulf	a550962-4368120-060520-251_K23.CEL	RG Ac50	0.0214	0.9786	0	0
Urabá Gulf	a550962-4368120-060520-251_M01.CEL	RG Ac51	0	0.2746	0.7254	0
Urabá Gulf	a550962-4368120-060520-251_M03.CEL	RG Ac55	0	0.7513	0.2487	0
Urabá Gulf	a550962-4368120-060520-251_M05.CEL	RG Ac56	0	0.7095	0.2727	0.0178
San Andrés	a550962-4368120-060520-251_M09.CEL	RG Ac60	0	0.0461	0.882	0.072
San Andrés	a550962-4368120-060520-251_M11.CEL	RG Ac62	0	0.1534	0.8466	0
San Andrés	a550962-4368120-060520-251_M13.CEL	RG Ac64	0	0.1147	0.8852	0
San Andrés	a550962-4368120-060520-251_M15.CEL	RG Ac65	0	0.0816	0.9184	0
San Andrés	a550962-4368120-060520-251_M17.CEL	RG Ac66	0	0.1111	0.8784	0.0105
San Andrés	a550962-4368120-060520-251_M19.CEL	RG Ac68	0	0.0982	0.8591	0.0427
San Andrés	a550962-4368120-060520-251_M21.CEL	RG Ac71	0	0.0551	0.7278	0.2171
San Andrés	a550962-4368120-060520-251_O01.CEL	RG Ac75	0	0.0576	0.8904	0.052
San Andrés	a550962-4368120-060520-251_O03.CEL	RG Ac76	0	0.1522	0.7304	0.1174
San Andrés	a550962-4368120-060520-251_O05.CEL	RG Ac78	0	0.2596	0.7404	0
Tayrona	a550962-4383627-121220-367_I09.CEL	RG Ac6	0	0.9916	0.0084	0
Rosario	a550962-4383627-121220-367_I13.CEL	RG Ac11	0	0.9534	0.0466	0
Rosario	a550962-4383627-121220-367_I15.CEL	RG Ac12	0	0.9699	0	0.0301
Rosario	a550962-4383627-121220-367_I17.CEL	RG Ac14	0	0.9798	0	0.0202
Rosario	a550962-4383627-121220-367_I21.CEL	RG Ac18	0	0.983	0.017	0
Rosario	a550962-4383627-121220-367_I23.CEL	RG Ac20	0	1	0	0
Rosario	a550962-4383627-121220-367_K01.CEL	RG Ac22	0	0.9826	0.0173	0
San Bernardo	a550962-4383627-121220-367_K07.CEL	RG Ac28	0.0064	0.9523	0.0413	0
San Bernardo	a550962-4383627-121220-367_K09.CEL	RG Ac32	0	1	0	0
San Bernardo	a550962-4383627-121220-367_K15.CEL	RG Ac37	0	0.9732	0.0268	0
San Bernardo	a550962-4383627-121220-367_K21.CEL	RG Ac43	0.0269	0.9525	0.0128	0.0078
San Bernardo	a550962-4383627-121220-367_K23.CEL	RG Ac44	0	1	0	0
Urabá Gulf	a550962-4383627-121220-367_M09.CEL	RG Ac54	0	0.8817	0.042	0.0763
San Andrés	a550962-4383627-121220-367_M13.CEL	RG Ac58	0.021	0.1365	0.842	0.0005
San Andrés	a550962-4383627-121220-367_M15.CEL	RG Ac61	0	0.0875	0.9125	0
San Andrés	a550962-4383627-121220-367_M17.CEL	RG Ac63	0	0.1139	0.8152	0.0709
San Andrés	a550962-4383627-121220-367_M19.CEL	RG Ac67	0	0.1078	0.8566	0.0356
San Andrés	a550962-4383627-121220-367_M21.CEL	RG Ac69	0	0.1289	0.8009	0.0702
San Andrés	a550962-4383627-121220-367_M23.CEL	RG Ac70	0	0.0107	0.9893	0
San Andrés	a550962-4383627-121220-367_O01.CEL	RG Ac73	0.023	0.0084	0.9686	0
San Andrés	a550962-4383627-121220-367_O03.CEL	RG Ac74	0	0.1866	0.7718	0.0415
San Andrés	a550962-4383627-121220-367_O05.CEL	RG Ac77	0	0.1373	0.7631	0.0996
San Andrés	a550962-4383627-121220-367_O07.CEL	RG Ac79	0.0407	0.1005	0.7841	0.0746
I. Arena	a550962-4383627-121220-367_O09.CEL	RG Ac82	0	1	0	0
